,Time,Textsubtitle,Texttranslate
0,00:00:00,[upbeat music],
1,00:00:32,"All right, Jim, your quarterlies look very good.","Jim, deine Quartalszahlen sehen gut aus."
2,00:00:36,How are things going at the library?,Wie läuft es mit der Bücherei?
3,00:00:38,"Oh, I told you. I couldn't close it, so...",Ich konnte den Vertrag nicht abschließen…
4,00:00:40,So you've come to the master for guidance?,"Also bist du zum Meister gekommen,
um ihn um Rat zu bitten."
5,00:00:44,"[Chinese accent] Is this what you're saying, Grasshopper?","Willst du das sagen, Grashüpfer?"
6,00:00:46,"Uh, actually, you called me in here.","Du hast mich herbestellt,"
7,00:00:48,"But, yeah. All right, well, let me show you how it's done.",aber ja.
8,00:00:52,"Yes, I'd like to speak to your office manager, please.",
9,00:00:54,"Yes, hello. This is Michael Scott.","Ja, hallo, hier ist Michael Scott."
10,00:00:56,I am the Regional Manager of Dunder Mifflin paper products.,"Ich bin der Regionalmanager
von Dunder Mifflin Papierprodukte."
11,00:01:00,Just wanted to talk to you manager a manager.,"Ich wollte mit Ihnen
von Manager zu Manager sprechen."
12,00:01:06,"All right, done deal! [Irish accent] Thank you very much, sir!","Ok, abgemacht."
13,00:01:09,You're gentleman and a scholar.,Sie sind ein echter Ehrenmann.
14,00:01:13,"Oh, I'm sorry.","Oh, tut mir leid."
15,00:01:14,Okay. I'm sorry. My mistake.,"Ok, tut mir leid."
16,00:01:18,[clears throat] That was a woman I was talking to.,
17,00:01:21,So. She had a very low voice.,Sie hatte eine sehr tiefe Stimme.
18,00:01:24,Probably a smoker.,Wahrscheinlich Raucherin.
19,00:01:26,So... [clears throat],
20,00:01:30,"So that's the way it's done. I've, uh, I've been at Dunder Mifflin",Also so wird das gemacht.
21,00:01:34,for 12 years. The last four as regional manager.,Die letzten vier als Regionalmanager.
22,00:01:37,"Uh, if you wanna come through here.",
23,00:01:40,"Ah, see, we have the entire floor.",
24,00:01:43,"So this is my kingdom, far as the eye can see.",
25,00:01:45,"Ah, this is our receptionist Pam.",
26,00:01:48,"[imitating Bam-Bam] Pam! Pam, Pam!",Pam!
27,00:01:50,"Pam Beasley. Uh, Pam has been with us, um...for...forever.",Pam Beasley.
28,00:01:55,"Right, Pam? Well, I don't know.",Ich weiß nicht.
29,00:01:57,"If you think she's cute now, you should have seen her a couple of years ago.",
30,00:02:00,"Reow, reow. What?",Was?
31,00:02:02,"Uh, any messages?",Irgendwelche Nachrichten?
32,00:02:03,Um...yeah. Just a fax.,
33,00:02:06,Oh.,
